Sentence,New
언니 동생으로 부르는게 맞는 일인가요..??,불안
그냥 내 느낌일뿐겠지?,불안
아직너무초기라서 그런거죠?,불안
유치원버스 사고 낫다던데,중립
근데 원래이런거맞나요,불안
 남자친구가 떠날까봐요,불안
이거 했는데 허리가 아플수도 있나요? ;;,불안
내가불안해서꾸는걸까..,불안
 일주일도 안 남았당...ㅠㅠ,불안
약은 최대한 안먹으려고 하는데좋은 음시있나요?0,중립
 구직활동 하면서 남는시간은 뭘로 활용해야 되지..,불안
괜찮은분 같아서 괜히 조급해지네요 ㅜ,불안
 제가 스타일을 바꾸면 더 어색하게만 변할것같아서 ㅠ0,불안
아내 있으면 여자 있는 술집가면 법 적으로 문제있나요?,중립
 한소리들을지.... 도와주세요,불안
도와주실분 없나요..,불안
그냥 잡다한거말고학업에 관련된거 듣는게 더 좋은가요?,중립
 가격은 반값....이거 질이 다른건가요??,중립
마지막에 말씀 드렸던대로 글은 이제 내릴게요의도치않게 실시간베스트글에 올라가서 남친이 볼거 같아서요 ㅠㅠ,불안
"화장품회사다보니, 젊은 여자들이 많은거 같은데 걱정이네요..",불안
 몸무게 1키로찌는건 아니겠죠?,불안
o자 다리 많이 심한가요?,중립
 안하는게 나을까요??,중립
그정도로 더러운가요.........,불안
 보통 가진통도 이렇게 오래가나요?,불안
여자가 술취해서 먼저 전화하는거 짜증나요???,중립
걱정이 큽니다,불안
이거 무슨 증상이죠??ㅜㅜ,불안
 다름 아니라 제동생 걱정 입니다,불안
아무래도 무리겠죠?,불안
애인으로써 정말 걱정됩니다,불안
이러다 일주일전에 나오는거 아닌가몰라요,불안
경고먹을까 고민0,불안
극도로 예민하고 불안한 상태에요,불안
 못받으면 어떡하죠,불안
 안검하수도어울릴까요?,중립
근데 그게 사마귀 일수 있데요.,중립
이제 곧 내년이면 22살인 여대생입니다...요즘 고민이 있는데요...,불안
 안하는게 좋은가요?,중립
자제할수있는 방법 뭐 없을까요??,중립
집에와서 또 운동하긴했는데지난 3주의 노력이 물거품이 될까봐정말 걱정되요,불안
옳은 선택인지 모르겠음,불안
8월이면 둘째가 태어나서 마음이 더 조급한것같아요 ㅠㅠ,불안
엄마한테는 친구랑 보러간다하는데 안들키겠지??,불안
내가 구글 폰 계정에 동기화를 안한거 같은데 어쩌죠 ///,불안
 아니면 더 빼야하나요?,중립
물을안먹어서그러나?..,중립
 찾아가는게나을까요?,중립
제가 너무 깊이 들어가는건가요?,중립
알수있는방법없음?,중립
어디다가 짱박으면 좋을까요?,중립
첫날안가서 왠지 아싸리 아싸가 될꺼같은 기분...,불안
딱 1주일뒤에 군대에 들어가게되는데..,불안
 방법이 없을까요?,중립
할지말지 고민이네요.,불안
검색해보니까 행동발달장애를 가져올수 있다는데...,불안
이게맞는방법인가요?,중립
아~ 정말 어떻게 해야되죠..1,불안
 혼자 웃다가 울다가 조울증인가싶기두해여..,불안
 월욜날연락주신댔는데지금불안해서미치겠어요ㅜㅜ,불안
왠지 오늘은 15분늦게올꺼같은디.,중립
사진 많이크나요..?,중립
이거 안좋은거 아니예요?,불안
나오늘 전달받은거없는데 퇴근시간20분넘고불안하다..,불안
 근육이 붙진 않겠죠?ㅠ,불안
방법을 잘 모르겠네요...,불안
 너무많이하는거죠?,불안
뭘해야할지 모르겠네요,불안
어깨때문인가,중립
걱정되서 잠이안와요!!,불안
 예정일이 보름이나 지나도 생리를 안해요,불안
시험5이 남았는데 과목 한개도 못 끝냈네,불안
앞으로 이 남자가 제 편이 되어줄지도 의문이네요,불안
저떨어진건가요..?,불안
저 이제 어떡하죠,불안
어휴...어떻게 처리하죠?0,불안
지금 20대 초반인데 혹시 재발확률 있는지...,불안
"미래에 30대,40대는 어떻게 해야햐나 싶기도 하고 그렇네요.",불안
 어떻게 되는지 걱정되서 그러는데 답좀 부탁드리겠습니다.,불안
투잡을 해야하나...,불안
믿을만한건지요 ?,불안
애기는 잘있나?,중립
 그냥 화가나서 연락을 안하는걸까요...?,불안
보증금 300도 있을까말까입니다.,불안
여자친구가 오빠가 2명다 오신다는데긴장되네요,불안
어른들은 변을 보시더니 아이가 분유를 소화를 못시키는거라구 하시네여...,불안
"지금 핫팩을 좀 보내주고 싶은데, 괜히 눈치 보이지 않을까요?",불안
 이거 성격장애아닌가요? ?,중립
 종아리 두꺼워지려나ㅠ,불안
어떻게할방법이없을까요?,불안
 막 매출이 막 떨어질 것 같음.,불안
출산 경험 있으신분들 좀 알려주세요 ㅠ,불안
 정적 흐를땐 어떻게 하시나요,중립
내가 잘 말한걸까?,불안
안올것같기도하고...주위에서 세상에 남자는많다라고하는데..제몸하나 쓰담어주는남자는 다신 안나타날것같은?불안하고 하네요~,불안
제가 알바 자체가 처음이라..,불안
저녁 늦게 천둥이 치는데 방이 흔들리는 것을 느꼈어요,중립
 많이 걱정돼요ㅠㅠㅠㅠ,불안
애들 진짜 못키우는데...,불안
모기매트는 안전한가요? 옥시때문에 의심이 늘어서,불안
노트7 쓰고 있는 사람들은 우짜노...나도 쓰는데 불안불안..,불안
점점 추워진다는게 걱정이네,불안
